Question,Answer,Category,Subcategory1,Subcategory2, Subcategory3
Who was the 1st president?,George Washington,History,U.S. Presidents,U.S. Presidents By Number
Who was the 2nd president?,John Adams,History,U.S. Presidents,U.S. Presidents By Number
Who was the 3rd president?,Thomas Jefferson,History,U.S. Presidents,U.S. Presidents By Number
Who was the 4th president?,James Madison,History,U.S. Presidents,U.S. Presidents By Number
Who was the 5th president?,James Monroe,History,U.S. Presidents,U.S. Presidents By Number
Who was the 6th president?,John Quincy Adams,History,U.S. Presidents,U.S. Presidents By Number
Who was the 7th president?,Andrew Jackson,History,U.S. Presidents,U.S. Presidents By Number
Who was the 8th president?,Martin Van Buren,History,U.S. Presidents,U.S. Presidents By Number
Who was the 9th president?,William Henry Harrison,History,U.S. Presidents,U.S. Presidents By Number
Who was the 10th president?,John Tyler,History,U.S. Presidents,U.S. Presidents By Number
Who was the 11th president?,James K. Polk,History,U.S. Presidents,U.S. Presidents By Number
Who was the 12th president?,Zachary Taylor,History,U.S. Presidents,U.S. Presidents By Number
Who was the 13th president?,Millard Fillmore,History,U.S. Presidents,U.S. Presidents By Number
Who was the 14th president?,Franklin Pierce,History,U.S. Presidents,U.S. Presidents By Number
Who was the 15th president?,James Buchanan,History,U.S. Presidents,U.S. Presidents By Number
Who was the 16th president?,Abraham Lincoln,History,U.S. Presidents,U.S. Presidents By Number
Who was the 17th president?,Andrew Johnson,History,U.S. Presidents,U.S. Presidents By Number
Who was the 18th president?,Ulysses S. Grant,History,U.S. Presidents,U.S. Presidents By Number
Who was the 19th president?,Rutherford B. Hayes,History,U.S. Presidents,U.S. Presidents By Number
Who was the 20th president?,James A. Garfield,History,U.S. Presidents,U.S. Presidents By Number
Who was the 21st president?,Chester A. Arthur,History,U.S. Presidents,U.S. Presidents By Number
Who was the 22nd president?,Grover Cleveland,History,U.S. Presidents,U.S. Presidents By Number
Who was the 23rd president?,Benjamin Harrison,History,U.S. Presidents,U.S. Presidents By Number
Who was the 24th president?,Grover Cleveland,History,U.S. Presidents,U.S. Presidents By Number
Who was the 25th president?,William McKinley,History,U.S. Presidents,U.S. Presidents By Number
Who was the 26th president?,Theodore Roosevelt,History,U.S. Presidents,U.S. Presidents By Number
Who was the 27th president?,William Howard Taft,History,U.S. Presidents,U.S. Presidents By Number
Who was the 28th president?,Woodrow Wilson,History,U.S. Presidents,U.S. Presidents By Number
Who was the 29th president?,Warren G. Harding,History,U.S. Presidents,U.S. Presidents By Number
Who was the 30th president?,Calvin Coolidge,History,U.S. Presidents,U.S. Presidents By Number
Who was the 31st president?,Herbert Hoover,History,U.S. Presidents,U.S. Presidents By Number
Who was the 32nd president?,Franklin D. Roosevelt,History,U.S. Presidents,U.S. Presidents By Number
Who was the 33rd president?,Harry S. Truman,History,U.S. Presidents,U.S. Presidents By Number
Who was the 34th president?,Dwight D. Eisenhower,History,U.S. Presidents,U.S. Presidents By Number
Who was the 35th president?,John F. Kennedy,History,U.S. Presidents,U.S. Presidents By Number
Who was the 36th president?,Lyndon B. Johnson,History,U.S. Presidents,U.S. Presidents By Number
Who was the 37th president?,Richard Nixon,History,U.S. Presidents,U.S. Presidents By Number
Who was the 38th president?,Gerald Ford,History,U.S. Presidents,U.S. Presidents By Number
Who was the 39th president?,Jimmy Carter,History,U.S. Presidents,U.S. Presidents By Number
Who was the 40th president?,Ronald Reagan,History,U.S. Presidents,U.S. Presidents By Number
Who was the 41st president?,George H. W. Bush,History,U.S. Presidents,U.S. Presidents By Number
Who was the 42nd president?,Bill Clinton,History,U.S. Presidents,U.S. Presidents By Number
Who was the 43rd president?,George W. Bush,History,U.S. Presidents,U.S. Presidents By Number
Who was the 44th president?,Barack Obama,History,U.S. Presidents,U.S. Presidents By Number
Who was the 45th president?,Donald Trump,History,U.S. Presidents,U.S. Presidents By Number
Who is the 46th president?,Joe Biden,History,U.S. Presidents,U.S. Presidents By Number

Who was president from 1789 to 1797?,George Washington,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1797 to 1801?,John Adams,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1801 to 1809?,Thomas Jefferson,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1809 to 1817?,James Madison,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1817 to 1825?,James Monroe,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1825 to 1829?,John Quincy Adams,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1829 to 1837?,Andrew Jackson,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1837 to 1841?,Martin Van Buren,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1841 to 1841?,William Henry Harrison,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1841 to 1845?,John Tyler,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1845 to 1849?,James K. Polk,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1849 to 1850?,Zachary Taylor,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1850 to 1853?,Millard Fillmore,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1853 to 1857?,Franklin Pierce,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1857 to 1861?,James Buchanan,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1861 to 1865?,Abraham Lincoln,History,U.S. Presidents,U.S. Presidents By Years in Office
Who was president from 1865 to 1869?,Andrew Johnson,History,U.S. Presidents,U.S. Presidents By Years in Office
